Mount,Panel,Top/Shape,Material,Type,Size,Handing,Finish Texture,Panel Style,Hinge Finish,Casing Finish,Casing Profile,,Stock Item Number,Lowes Stock Item Number,New Number
Pre-hung,Panel,,Molded,5,36,LH,,PFJ/356,NK,,,,957426,1101845,
Pre-hung,Panel,,Molded,5,36,RH,,PFJ/356,NK,,,,957427,1101846,6035870
Pre-hung,Panel,,Molded,5,376,RH,,PFJ,NK,,,,5509400,1169243,
Pre-hung,Panel,,Molded,5,376,LH,,PFJ,NK,,,,5509384,1169267,
Pre-hung,Panel,,Molded,5,376,RH,,PFJ,NK,,,,5509387,1170124,
Pre-hung,Panel,,Molded,5,376,LH,,PFJ,NK,,,,5509391,1169239,
Pre-hung,Panel,,Molded,5,376,RH,,PFJ,NK,,,,5509396,1169255,
Pre-hung,Panel,,Molded,5,376,LH,,PFJ,NK,,,,5509388,1170138,
Pre-hung,Panel,,Molded,5,376,RH,,PFJ,NK,,,,5509393,1169408,
Pre-hung,Panel,,Molded,5,376,LH,,PFJ,NK,,,,5509389,1170115,
Pre-hung,Panel,,Molded,5,376,RH,,PFJ,NK,,,,5509392,1168778,
Pre-hung,5 Panel,,Molded,,376,LH,,PFJ,NK,,,,5509406,1169242,
Pre-hung,Panel,,Molded,6 Hollow Core,24,RH,TX,NK,,,,,5675109,1101866,
Pre-hung,Panel,,Molded,6 Hollow Core,24,LH,TX,NK,,,,,5675110,1101867,6035884
Pre-hung,Panel,,Molded,6 Hollow Core,28,RH,TX,NK,,,,,5675116,1101868,6035886
Pre-hung,Panel,,Molded,6 Hollow Core,28,LH,TX,NK,,,,,5675107,1101869,6035888
Pre-hung,Panel,,Molded,6 Hollow Core,30,RH,TX,NK,,,,,5675108,1101870,
Pre-hung,Panel,,Molded,6 Hollow Core,30,LH,TX,NK,,,,,5675111,1101871,
Pre-hung,Panel,,Molded,6 Hollow Core,32,RH,TX,NK,,,,,5675119,1101872,6035890
Pre-hung,Panel,,Molded,6 Hollow Core,32,LH,TX,NK,,,,,5675117,1101874,
Pre-hung,Panel,,Molded,6 Hollow Core,36,RH,TX,NK,,,,,5675113,1101875,
Pre-hung,Panel,,Molded,6 Hollow Core,36,LH,TX,NK,,,,,5675115,1101876,6035892
Pre-hung,Panel,,Molded,6 Hollow Core,356,RH,TX,PFJ/NK,,,,,338798,1101903,
Pre-hung,Panel,,Molded,6 Hollow Core,356,LH,TX,PFJ/NK,,,,,338799,1101904,
Pre-hung,Panel,,Molded,6 Hollow Core,356,RH,TX,PFJ/NK,,,,,43359,1101877,6035894
Pre-hung,Panel,,Molded,6 Hollow Core,356,LH,TX,PFJ/NK,,,,,44035,1101878,
Pre-hung,Panel,,Molded,6 Hollow Core,356,RH,TX,PFJ/NK,,,,,47025,1101879,
Pre-hung,Panel,,Molded,6 Hollow Core,356,LH,TX,PFJ/NK,,,,,47422,1101880,
Pre-hung,Panel,,Molded,6 Hollow Core,356,RH,TX,PFJ/NK,,,,,49504,1101881,
Pre-hung,Panel,,Molded,6 Hollow Core,356,LH,TX,PFJ/NK,,,,,49706,1101882,
Pre-hung,Panel,,Molded,6 Hollow Core,356,RH,TX,PFJ/NK,,,,,49957,1101883,
Pre-hung,Panel,,Molded,6 Hollow Core,356,LH,TX,PFJ/NK,,,,,49962,1101884,6035896
Pre-hung,Panel,,Molded,6 Hollow Core,356,RH,TX,PFJ/NK,,,,,50820,1101885,
Pre-hung,Panel,,Molded,6 Hollow Core,356,LH,TX,PFJ/NK,,,,,51025,1101886,
Pre-hung,Panel,,Molded,6 Hollow Core,18,RH,TX,PFJ,366NK,,,,205594,1101897,
Pre-hung,Panel,,Molded,6 Hollow Core,18,LH,TX,PFJ,366NK,,,,205595,1101898,
Pre-hung,Panel,,Molded,6 Hollow Core,24,RH,TX,PFJ366NK,,,,,125154,1101887,
Pre-hung,Panel,,Molded,6 Hollow Core,24,LH,TX,PFJ366NK,,,,,125156,1101888,
Pre-hung,Panel,,Molded,6 Hollow Core,28,RH,TX,PFJ366NK,,,,,125159,1101889,6035898
Pre-hung,Panel,,Molded,6 Hollow Core,28,LH,TX,PFJ366NK,,,,,125161,1101890,
Pre-hung,Panel,,Molded,6 Hollow Core,30,RH,TX,PFJ366NK,,,,,125162,1101891,6035900
Pre-hung,Panel,,Molded,6 Hollow Core,30,LH,TX,PFJ366NK,,,,,125165,1101892,
Pre-hung,Panel,,Molded,6 Hollow Core,32,RH,TX,PFJ366NK,,,,,125169,1101893,
Pre-hung,Panel,,Molded,6 Hollow Core,32,LH,TX,PFJ366NK,,,,,125170,1101894,
Pre-hung,Panel,,Molded,6 Hollow Core,36,RH,TX,PFJ366NK,,,,,125171,1101895,
Pre-hung,Panel,,Molded,6 Hollow Core,36,LH,TX,PFJ366NK,,,,,125173,1101896,
Pre-hung,Panel,,Molded,6 Hollow Core,18,RH,TX,PFJ376NK,,,,,361486,1101905,
Pre-hung,Panel,,Molded,6 Hollow Core,18,LH,TX,PFJ376NK,,,,,361488,1101906,
Pre-hung,Panel,,Molded,6 Hollow Core,24,RH,TX,PFJ376NK,,,,,361490,1101907,
Pre-hung,Panel,,Molded,6 Hollow Core,24,LH,TX,PFJ376NK,,,,,361493,1101908,
Pre-hung,Panel,,Molded,6 Hollow Core,28,RH,TX,PFJ376NK,,,,,361495,1101909,
Pre-hung,Panel,,Molded,6 Hollow Core,28,LH,TX,PFJ376NK,,,,,361496,1101910,
Pre-hung,Panel,,Molded,6 Hollow Core,30,RH,TX,PFJ376NK,,,,,361497,1101911,
Pre-hung,Panel,,Molded,6 Hollow Core,30,LH,TX,PFJ376NK,,,,,361499,1101912,
Pre-hung,Panel,,Molded,6 Hollow Core,32,RH,TX,PFJ376NK,,,,,361500,1101913,
Pre-hung,Panel,,Molded,6 Hollow Core,32,LH,TX,PFJ376NK,,,,,361501,1101914,
Pre-hung,Panel,,Molded,6 Hollow Core,36,RH,TX,PFJ376NK,,,,,361502,1101915,
Pre-hung,Panel,,Molded,6 Hollow Core,36,LH,TX,PFJ376NK,,,,,361504,1101916,6035908
Pre-hung,Panel,,Molded,6 Hollow Core,356,RH,,PFJ,,,,,9789,1101856,6035872
Pre-hung,Panel,,Molded,6 Hollow Core,356,LH,,PFJ,,,,,9790,1101857,
Pre-hung,Panel,,Molded,6 Hollow Core,356,RH,,PFJ,,,,,9791,1101858,6035874
Pre-hung,Panel,,Molded,6 Hollow Core,356,LH,,PFJ,,,,,9792,1101859,6035876
Pre-hung,Panel,,Molded,6 Hollow Core,356,RH,,PFJ,,,,,9793,1101860,
Pre-hung,Panel,,Molded,6 Hollow Core,356,LH,,PFJ,,,,,9794,1101861,
Pre-hung,Panel,,Molded,6 Hollow Core,356,RH,,PFJ,,,,,9795,1101862,6035878
Pre-hung,Panel,,Molded,6 Hollow Core,356,LH,,PFJ,,,,,9796,1101863,6035880
Pre-hung,Panel,,Molded,6 Hollow Core,356,RH,,PFJ,,,,,9797,1101864,6035882
Pre-hung,Panel,,Molded,6 Hollow Core,356,LH,,PFJ,,,,,9798,1101865,
Pre-hung,Panel,,Molded,6 Solid Core,24,RH,TX,FLTNK,,,,,5675181,1101928,
Pre-hung,Panel,,Molded,6 Solid Core,24,LH,TX,FLTNK,,,,,5675190,1101929,
Pre-hung,Panel,,Molded,6 Solid Core,28,RH,TX,FLTNK,,,,,5675193,1101930,6035926
Pre-hung,Panel,,Molded,6 Solid Core,28,LH,TX,FLTNK,,,,,5675187,1101931,
Pre-hung,Panel,,Molded,6 Solid Core,30,RH,TX,FLTNK,,,,,5675196,1101932,6035928
Pre-hung,Panel,,Molded,6 Solid Core,30,LH,TX,FLTNK,,,,,5675197,1101933,6035930
Pre-hung,Panel,,Molded,6 Solid Core,32,RH,TX,FLTNK,,,,,5675194,1101934,6035932
Pre-hung,Panel,,Molded,6 Solid Core,32,LH,TX,FLTNK,,,,,5675188,1101935,6035934
Pre-hung,Panel,,Molded,6 Solid Core,36,RH,TX,FLTNK,,,,,5675191,1101936,6035936
